year,Member States,Returnees_total,Frontex staff,"Escorts, observers, escort leaders, medical staff",Medical personnel,Monitors,frontex_contribution,Escort Leaders,Escorts,Escorts from Pool,frontex_contribution_per_person,use_of_force
2014,Finland,60,0,117,0,5,314906.63,0,0,0,5248.443833333334,0
2014,France,155,4,180,0,0,333673.58,0,0,0,2152.7327741935483,0
2014,Fronte,0,36,1,0,0,69790.45,0,0,0,0,0
2014,Georgia,0,0,107,0,4,0,0,0,0,0,0
2014,Germany,473,0,368,0,0,782151.57,0,0,0,1653.597399577167,0
2014,Greece,165,0,375,0,0,0,0,0,0,0,0
2014,Hungary,288,0,350,0,3,129543.32,0,0,0,449.80319444444444,0
2014,Iceland,1,0,3,0,1,7074.26,0,0,0,7074.26,0
2014,Italy,119,0,348,0,0,665308.96,0,0,0,5590.831596638655,0
2014,Lithuania,13,0,14,0,0,0,0,0,0,0,0
2014,Luembourg,34,0,52,0,3,12093.42,0,0,0,355.68882352941176,0
2014,Malta,18,0,65,0,0,53559.64,0,0,0,2975.5355555555557,0
2014,Netherlands,14,0,75,0,3,479944.12,0,0,0,34281.72285714286,0
2014,Norway,93,0,223,0,0,634529.6900000001,0,0,0,6822.899892473119,0
2014,Poland,65,0,76,0,3,14408.84,0,0,0,221.67446153846154,0
2014,Portugal,3,0,10,0,0,4661.04,0,0,0,1553.68,0
2014,Romania,2,0,8,0,0,3737.34,0,0,0,1868.67,0
2014,Slovakia,3,0,7,0,0,41.28,0,0,0,13.76,0
2014,Spain,334,0,628,0,8,1994099.66,0,0,0,5970.358263473054,0
2014,Sweden,148,0,280,0,0,789055.42,0,0,0,5331.455540540541,0
2014,Switzerland,12,2,25,0,2,140259.32,0,0,0,11688.276666666667,0
2014,UK,41,0,108,0,0,229278.8,0,0,0,5592.165853658536,0
2015,Albania,0,0,116,0,3,0,0,0,0,0,0
2015,Austria,309,0,571,0,16,1614831.52,0,0,0,5225.991974110032,0
2015,Belgium,68,0,121,0,12,143742.35,0,0,0,2113.8580882352944,0
2015,Bulgaria,71,0,140,0,1,104576.48999999999,0,0,0,1472.9083098591548,0
2015,Croatia,4,0,4,0,0,166.78,0,0,0,41.695,0
2015,Czech Republic,1,0,3,0,2,108,0,0,0,108,0
2015,Denmark,6,0,14,0,1,398589.48,0,0,0,66431.58,0
2015,Estonia,2,0,4,0,0,1093.22,0,0,0,546.61,0
2015,Finland,58,0,93,0,7,316666.57,0,0,0,5459.768448275862,0
2015,France,206,4,212,0,1,389051.78,0,0,0,1888.6008737864079,0
2015,Frontex,0,0,0,0,0,9,0,0,0,0,0
2015,Georgia,0,0,4,0,2,0,0,0,0,0,0
2015,Germany,1385,3,877,0,0,2091722.91,0,0,0,1510.2692490974728,0
2015,Greece,69,0,152,0,0,0,0,0,0,0,0
2015,Greece (Ombudsman),0,0,0,0,0,328,0,0,0,0,0
2015,Hungary,342,0,393,0,9,103736.65000000001,0,0,0,303.3235380116959,0
2015,Iceland,44,0,59,0,0,129122.04000000001,0,0,0,2934.5918181818183,0
2015,Ireland,12,0,39,0,0,127091.58,0,0,0,10590.965,0
2015,Italy,248,0,724,0,0,1450169.47,0,0,0,5847.457540322581,0
2015,Lithuania,12,0,14,0,0,2441.7,0,0,0,203.475,0
2015,Luxembourg,25,0,49,0,3,41378.409999999996,0,0,0,1655.1363999999999,0
